match_id,Winner,Blue Picks,Red Picks
134,Red,"Renekton,Taliyah,Syndra,Xayah,Rakan","Olaf,Maokai,Jayce,Kai'Sa,Lissandra"
135,Blue,"K'Sante,Rell,Azir,Kai'Sa,Rakan","Renekton,Maokai,Syndra,Aphelios,Alistar"
136,Blue,"Renekton,Ivern,Syndra,Xayah,Alistar","K'Sante,Maokai,Azir,Kai'Sa,Rell"
137,Red,"Renekton,Rell,Xerath,Zeri,Rakan","K'Sante,Bel'Veth,Azir,Kalista,Alistar"
138,Blue,"K'Sante,Maokai,Azir,Kalista,Alistar","Ornn,Karthus,Jayce,Ezreal,Rell"
139,Red,"Rumble,Sejuani,Jayce,Varus,Braum","Sion,Taliyah,Azir,Xayah,Nautilus"
140,Red,"K'Sante,Rell,Ahri,Aphelios,Thresh","Poppy,Ivern,Taliyah,Xayah,Nautilus"
141,Red,"Rumble,Jarvan IV,Kai'Sa,Nilah,Nautilus","Yone,Maokai,LeBlanc,Xayah,Braum"
142,Blue,"Swain,Rell,Tristana,Kog'Maw,Braum","Renekton,Sejuani,Azir,Aphelios,Zilean"
143,Blue,"Renekton,Ivern,Azir,Kai'Sa,Rakan","Kled,Fiddlesticks,Tristana,Jinx,Nautilus"
144,Blue,"K'Sante,Maokai,Tristana,Kalista,Lissandra","Jax,Sejuani,Azir,Ezreal,Rakan"
145,Blue,"Renekton,Ivern,Syndra,Xayah,Nautilus","Olaf,Rell,Azir,Ezreal,Braum"
146,Blue,"Darius,Maokai,LeBlanc,Ezreal,Rakan","Renekton,Sejuani,Kai'Sa,Aphelios,Nautilus"
147,Red,"Darius,Maokai,Tristana,Sivir,Rakan","Renekton,Sejuani,Azir,Ezreal,Nautilus"
148,Blue,"Renekton,Karthus,Tristana,Aphelios,Alistar","Jax,Poppy,Cassiopeia,Xayah,Braum"
149,Blue,"Renekton,Ivern,LeBlanc,Kog'Maw,Braum","Ornn,Karthus,Jayce,Kai'Sa,Nautilus"
150,Red,"K'Sante,Sejuani,Ahri,Zeri,Rakan","Ornn,Taliyah,Tristana,Kalista,Nautilus"
151,Blue,"Poppy,Taliyah,Tristana,Aphelios,Nautilus","Sion,Ivern,Azir,Zeri,Alistar"
